SMILES,IC50
CC1CC2C(OC3(C1C4(CCC56CC5(C(CCC6C4(C3O)C)C(C)(C)O)CCC(=O)OC)C)O2)C(C)(C)O,12.35
CC1CC2C(OC3(C1C4(CCC5=C(C4(C3O)C)CCC6C(C7CCC6(C5)O7)(C)C)C)O2)C(C)(C)O,12.35
CC(CC1=CC2=C(C=C1)OCO2)C(C)CC3=CC4=C(C=C3)OCO4,12.4
COC1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C=C3O)OC)C4=C(C=CC(=C4)C5=CC(=O)C6=C(C=C(C=C6O5)O)O)O,12.42
CC12CCC3(C1)C(CC(C4C3(CCCC4(C)CO)C)OC(=O)C5=CC=CC=C5)CC2O,12.42381622
CC(=O)NC1C(C(C(OC1OC2CCC3(C(C2(C)C)CCC4(C3CC=C5C4(CC(C6(C5CC(C(C6)OC(=O)C=CC7=CC=CC=C7)(C)C)C(=O)O)O)C)C)C)COC8C(C(C(CO8)O)O)OC9C(C(C(CO9)O)O)O)O)O,12.42750621
CC(=CC(=O)OC=CC1C(C(=O)C(=CCC1(C)CCC(C(C)(C)O)O)CO)CC(=O)C)C,12.42787395
C1=CC(=CC=C1C2C(C(=O)C3=C(C=C(C=C3O2)O)O)C4C(OC5=CC(=CC(=C5C4=O)O)O)C6=CC=C(C=C6)O)O,12.45
C1CC(=O)N(C1)C(=O)N,12.48722011
C1C(OC2=C(C1=O)C=CC(=C2)O)C3=CC=C(C=C3)O,12.48780488
